Person,CQ ID,"Decision (Y,N)",Difficulty (1-5),"LLM available? (y,n)",A then B,correctnessOfDecision
1e6ba2e0,1,Y,3,N,Y,N
1e6ba2e0,3,Y,2,N,Y,Y
1e6ba2e0,11,Y,2,N,Y,Y
1e6ba2e0,12,Y,1,N,Y,Y
1e6ba2e0,2,N,3,Y,Y,N
1e6ba2e0,4,Y,3,Y,Y,Y
1e6ba2e0,5,Y,4,Y,Y,N
1e6ba2e0,8,Y,1,Y,Y,Y
1e6ba2e0,9,Y,2,Y,Y,Y
1e6ba2e0,10,Y,1,Y,Y,Y
9c19ecec,4,Y,2,Y,N,Y
9c19ecec,5,N,1,Y,N,Y
9c19ecec,7,Y,2,Y,N,N
9c19ecec,1,Y,2,N,N,N
9c19ecec,3,Y,2,N,N,Y
9c19ecec,6,Y,4,N,N,N
9c19ecec,11,Y,2,N,N,Y
9c19ecec,12,Y,2,N,N,Y
9c19ecec,13,Y,3,N,N,Y
b55a1222,1,Y,3,Y,Y,N
b55a1222,6,N,4,Y,Y,Y
b55a1222,11,Y,2,Y,Y,Y
b55a1222,12,Y,2,Y,Y,Y
b55a1222,13,Y,4,Y,Y,Y
b55a1222,2,Y,3,N,Y,Y
b55a1222,4,Y,4,N,Y,Y
b55a1222,5,N,3,N,Y,Y
b55a1222,7,N,3,N,Y,Y
b55a1222,8,Y,2,N,Y,Y
b55a1222,9,Y,2,N,Y,Y
b55a1222,10,Y,3,N,Y,Y
b55a1222,19,Y,2,N,Y,N
8779e0fc,6,N,4,N,Y,Y
8779e0fc,3,Y,3,N,Y,Y
8779e0fc,17,Y,1,N,Y,N
8779e0fc,10,Y,2,Y,Y,Y
8779e0fc,9,Y,1,Y,Y,Y
8779e0fc,8,Y,1,Y,Y,Y
8779e0fc,7,Y,1,Y,Y,N
8779e0fc,5,N,1,Y,Y,Y
8779e0fc,4,N,2,Y,Y,N
8779e0fc,2,Y,3,Y,Y,Y
8779e0fc,18,N,2,Y,Y,Y
8779e0fc,14,N,2,Y,Y,Y
37536591,10,Y,1,Y,N,Y
37536591,9,Y,2,Y,N,Y
37536591,8,Y,2,Y,N,Y
37536591,7,Y,2,Y,N,N
37536591,5,N,3,Y,N,Y
37536591,4,Y,2,Y,N,Y
37536591,2,Y,2,Y,N,Y
37536591,20,Y,2,Y,N,Y
37536591,6,Y,4,N,N,N
37536591,3,Y,2,N,N,Y
37536591,1,N,1,N,N,Y
37536591,17,N,2,N,N,Y
37536591,19,N,5,N,N,Y
37536591,15,Y,1,N,N,N
37536591,13,N,3,N,N,N
37536591,12,Y,1,N,N,Y
37536591,11,Y,1,N,N,Y
8068ee26,6,N,3,Y,N,Y
8068ee26,3,N,4,Y,N,N
8068ee26,1,N,4,Y,N,Y
8068ee26,17,N,3,Y,N,Y
8068ee26,19,N,4,Y,N,Y
8068ee26,16,N,4,Y,N,Y
8068ee26,10,Y,3,N,N,Y
8068ee26,9,Y,3,N,N,Y
8068ee26,8,Y,3,N,N,Y
8068ee26,7,Y,3,N,N,N
8068ee26,5,Y,3,N,N,N
8068ee26,4,N,3,N,N,N
8068ee26,2,Y,3,N,N,Y
8068ee26,20,Y,3,N,N,Y
8068ee26,18,N,3,N,N,Y
8068ee26,14,N,4,N,N,Y
b6deb098,10,N,3,N,Y,N
b6deb098,9,Y,4,N,Y,Y
b6deb098,8,Y,4,N,Y,Y
b6deb098,4,N,3,N,Y,N
b6deb098,2,Y,1,N,Y,Y
b6deb098,6,N,4,Y,Y,Y
b6deb098,3,N,3,Y,Y,N
b6deb098,1,N,1,Y,Y,Y
b6deb098,17,N,2,Y,Y,Y
b6deb098,19,N,4,Y,Y,Y
ada2b667,6,Y,3,Y,N,N
ada2b667,3,Y,4,Y,N,Y
ada2b667,1,Y,4,Y,N,N
ada2b667,17,Y,1,Y,N,N
ada2b667,19,N,5,Y,N,Y
ada2b667,10,N,2,N,N,N
ada2b667,9,Y,1,N,N,Y
ada2b667,8,Y,1,N,N,Y
ada2b667,7,N,3,N,N,Y
ada2b667,5,Y,2,N,N,N
ada2b667,4,Y,4,N,N,Y
ada2b667,2,Y,3,N,N,Y
ada2b667,20,Y,1,N,N,Y
ada2b667,18,N,4,N,N,Y
ada2b667,14,N,3,N,N,Y
f14eaa27,10,Y,3,Y,Y,Y
f14eaa27,9,Y,4,Y,Y,Y
f14eaa27,8,Y,4,Y,Y,Y
f14eaa27,6,N,2,Y,Y,Y
f14eaa27,3,Y,3,N,Y,Y
f14eaa27,1,N,2,N,Y,Y
f14eaa27,17,Y,4,N,Y,N
f14eaa27,16,N,2,N,Y,Y
f14eaa27,15,Y,4,N,Y,N
fe0f589f,6,Y,2,Y,N,N
fe0f589f,3,Y,3,Y,N,Y
fe0f589f,1,Y,4,Y,N,N
fe0f589f,17,Y,2,Y,N,N
fe0f589f,19,N,3,Y,N,Y
fe0f589f,16,N,2,Y,N,Y
fe0f589f,10,Y,2,N,N,Y
fe0f589f,9,Y,2,N,N,Y
fe0f589f,8,Y,2,N,N,Y
fe0f589f,5,Y,2,N,N,N
fe0f589f,4,Y,3,N,N,Y
fe0f589f,2,Y,3,N,N,Y
fe0f589f,18,N,3,N,N,Y
fe0f589f,14,N,3,N,N,Y
4b0b0cb9,9,Y,3,N,Y,Y
4b0b0cb9,8,Y,4,N,Y,Y
4b0b0cb9,7,N,3,N,Y,Y
4b0b0cb9,5,N,2,N,Y,Y
4b0b0cb9,6,N,1,Y,Y,Y
4b0b0cb9,3,N,2,Y,Y,N
4b0b0cb9,1,N,1,Y,Y,Y
4b0b0cb9,20,Y,2,Y,Y,Y
4b0b0cb9,17,N,2,Y,Y,Y
4b0b0cb9,18,N,1,Y,Y,Y
4b0b0cb9,19,N,1,Y,Y,Y
65c43487,6,Y,4,Y,N,N
65c43487,4,Y,3,Y,N,Y
65c43487,3,Y,4,Y,N,Y
65c43487,10,Y,1,N,N,Y
65c43487,9,Y,2,N,N,Y
65c43487,8,N,1,N,N,N
65c43487,7,Y,2,N,N,N
65c43487,5,Y,5,N,N,N
65c43487,16,N,1,N,N,Y
